Концентрация: 13
Уровень: 45 | Надо Гидронол В20: 5.63 Л Вода ДИ: 14.47 Л
Уровень: 64 | Надо Гидронол В20: 3.55 Л Вода ДИ: 3.82 Л
Уровень: 65 | Надо Гидронол В20: 3.45 Л Вода ДИ: 3.25 Л
Уровень: 66 | Надо Гидронол В20: 3.36 Л Вода ДИ: 2.67 Л
Уровень: 67 | Надо Гидронол В20: 3.27 Л Вода ДИ: 2.09 Л
Уровень: 68 | Надо Гидронол В20: 3.17 Л Вода ДИ: 1.52 Л
Уровень: 69 | Надо Гидронол В20: 3.08 Л Вода ДИ: 0.94 Л
Уровень: 70 | Надо Гидронол В20: 2.98 Л Вода ДИ: 0.37 Л
Уровень: 71 | Надо Гидронол В20: 2.89 Л Вода ДИ: -0.21 Л
Уровень: 72 | Надо Гидронол В20: 2.8 Л Вода ДИ: -0.79 Л
Уровень: 73 | Надо Гидронол В20: 2.7 Л Вода ДИ: -1.36 Л
Уровень: 74 | Надо Гидронол В20: 2.61 Л Вода ДИ: -1.94 Л
Концентрация: 15
Уровень: 45 | Надо Гидронол В20: 5.03 Л Вода ДИ: 15.07 Л
Уровень: 46 | Надо Гидронол В20: 4.93 Л Вода ДИ: 14.5 Л
Уровень: 47 | Надо Гидронол В20: 4.83 Л Вода ДИ: 13.93 Л
Уровень: 48 | Надо Гидронол В20: 4.73 Л Вода ДИ: 13.36 Л
Уровень: 49 | Надо Гидронол В20: 4.63 Л Вода ДИ: 12.79 Л
Уровень: 50 | Надо Гидронол В20: 4.53 Л Вода ДИ: 12.23 Л
Уровень: 51 | Надо Гидронол В20: 4.42 Л Вода ДИ: 11.66 Л
Уровень: 52 | Надо Гидронол В20: 4.32 Л Вода ДИ: 11.09 Л
Уровень: 53 | Надо Гидронол В20: 4.22 Л Вода ДИ: 10.52 Л
Уровень: 54 | Надо Гидронол В20: 4.12 Л Вода ДИ: 9.95 Л
Уровень: 55 | Надо Гидронол В20: 4.02 Л Вода ДИ: 9.38 Л
Уровень: 56 | Надо Гидронол В20: 3.92 Л Вода ДИ: 8.81 Л
Уровень: 57 | Надо Гидронол В20: 3.82 Л Вода ДИ: 8.24 Л
Уровень: 58 | Надо Гидронол В20: 3.72 Л Вода ДИ: 7.67 Л
Уровень: 59 | Надо Гидронол В20: 3.62 Л Вода ДИ: 7.1 Л
Уровень: 60 | Надо Гидронол В20: 3.52 Л Вода ДИ: 6.53 Л
Уровень: 61 | Надо Гидронол В20: 3.42 Л Вода ДИ: 5.96 Л
Уровень: 62 | Надо Гидронол В20: 3.32 Л Вода ДИ: 5.39 Л
Уровень: 63 | Надо Гидронол В20: 3.22 Л Вода ДИ: 4.82 Л
Уровень: 64 | Надо Гидронол В20: 3.12 Л Вода ДИ: 4.25 Л
Уровень: 65 | Надо Гидронол В20: 3.02 Л Вода ДИ: 3.68 Л
Уровень: 66 | Надо Гидронол В20: 2.92 Л Вода ДИ: 3.11 Л
Уровень: 67 | Надо Гидронол В20: 2.82 Л Вода ДИ: 2.54 Л
Уровень: 68 | Надо Гидронол В20: 2.72 Л Вода ДИ: 1.97 Л
Уровень: 69 | Надо Гидронол В20: 2.62 Л Вода ДИ: 1.4 Л
Уровень: 70 | Надо Гидронол В20: 2.51 Л Вода ДИ: 0.84 Л
Уровень: 71 | Надо Гидронол В20: 2.41 Л Вода ДИ: 0.27 Л
Уровень: 72 | Надо Гидронол В20: 2.31 Л Вода ДИ: -0.3 Л
Уровень: 73 | Надо Гидронол В20: 2.21 Л Вода ДИ: -0.87 Л
Уровень: 74 | Надо Гидронол В20: 2.11 Л Вода ДИ: -1.44 Л
Концентрация: 16
Уровень: 45 | Надо Гидронол В20: 4.73 Л Вода ДИ: 15.37 Л
Уровень: 46 | Надо Гидронол В20: 4.62 Л Вода ДИ: 14.81 Л
Уровень: 47 | Надо Гидронол В20: 4.51 Л Вода ДИ: 14.25 Л
Уровень: 48 | Надо Гидронол В20: 4.4 Л Вода ДИ: 13.69 Л
Уровень: 49 | Надо Гидронол В20: 4.3 Л Вода ДИ: 13.12 Л
Уровень: 50 | Надо Гидронол В20: 4.19 Л Вода ДИ: 12.56 Л
Уровень: 51 | Надо Гидронол В20: 4.08 Л Вода ДИ: 12.0 Л
Уровень: 52 | Надо Гидронол В20: 3.98 Л Вода ДИ: 11.43 Л
Уровень: 53 | Надо Гидронол В20: 3.87 Л Вода ДИ: 10.87 Л
Уровень: 54 | Надо Гидронол В20: 3.76 Л Вода ДИ: 10.31 Л
Уровень: 55 | Надо Гидронол В20: 3.65 Л Вода ДИ: 9.75 Л
Уровень: 56 | Надо Гидронол В20: 3.55 Л Вода ДИ: 9.18 Л
Уровень: 57 | Надо Гидронол В20: 3.44 Л Вода ДИ: 8.62 Л
Уровень: 58 | Надо Гидронол В20: 3.33 Л Вода ДИ: 8.06 Л
Уровень: 59 | Надо Гидронол В20: 3.23 Л Вода ДИ: 7.49 Л
Уровень: 60 | Надо Гидронол В20: 3.12 Л Вода ДИ: 6.93 Л
Уровень: 61 | Надо Гидронол В20: 3.01 Л Вода ДИ: 6.37 Л
Уровень: 62 | Надо Гидронол В20: 2.9 Л Вода ДИ: 5.81 Л
Уровень: 63 | Надо Гидронол В20: 2.8 Л Вода ДИ: 5.24 Л
Уровень: 64 | Надо Гидронол В20: 2.69 Л Вода ДИ: 4.68 Л
Уровень: 65 | Надо Гидронол В20: 2.58 Л Вода ДИ: 4.12 Л
Уровень: 66 | Надо Гидронол В20: 2.47 Л Вода ДИ: 3.56 Л
Уровень: 67 | Надо Гидронол В20: 2.37 Л Вода ДИ: 2.99 Л
Уровень: 68 | Надо Гидронол В20: 2.26 Л Вода ДИ: 2.43 Л
Уровень: 69 | Надо Гидронол В20: 2.15 Л Вода ДИ: 1.87 Л
Уровень: 70 | Надо Гидронол В20: 2.05 Л Вода ДИ: 1.3 Л
Уровень: 71 | Надо Гидронол В20: 1.94 Л Вода ДИ: 0.74 Л
Уровень: 72 | Надо Гидронол В20: 1.83 Л Вода ДИ: 0.18 Л
Уровень: 73 | Надо Гидронол В20: 1.72 Л Вода ДИ: -0.38 Л
Уровень: 74 | Надо Гидронол В20: 1.62 Л Вода ДИ: -0.95 Л
Концентрация: 17
Уровень: 45 | Надо Гидронол В20: 4.42 Л Вода ДИ: 15.68 Л
Уровень: 46 | Надо Гидронол В20: 4.31 Л Вода ДИ: 15.12 Л
Уровень: 47 | Надо Гидронол В20: 4.2 Л Вода ДИ: 14.56 Л
Уровень: 48 | Надо Гидронол В20: 4.08 Л Вода ДИ: 14.01 Л
Уровень: 49 | Надо Гидронол В20: 3.97 Л Вода ДИ: 13.45 Л
Уровень: 50 | Надо Гидронол В20: 3.86 Л Вода ДИ: 12.9 Л
Уровень: 51 | Надо Гидронол В20: 3.74 Л Вода ДИ: 12.34 Л
Уровень: 52 | Надо Гидронол В20: 3.63 Л Вода ДИ: 11.78 Л
Уровень: 53 | Надо Гидронол В20: 3.51 Л Вода ДИ: 11.23 Л
Уровень: 54 | Надо Гидронол В20: 3.4 Л Вода ДИ: 10.67 Л
Уровень: 55 | Надо Гидронол В20: 3.29 Л Вода ДИ: 10.11 Л
Уровень: 56 | Надо Гидронол В20: 3.17 Л Вода ДИ: 9.56 Л
Уровень: 57 | Надо Гидронол В20: 3.06 Л Вода ДИ: 9.0 Л
Уровень: 58 | Надо Гидронол В20: 2.94 Л Вода ДИ: 8.45 Л
Уровень: 59 | Надо Гидронол В20: 2.83 Л Вода ДИ: 7.89 Л
Уровень: 60 | Надо Гидронол В20: 2.72 Л Вода ДИ: 7.33 Л
Уровень: 61 | Надо Гидронол В20: 2.6 Л Вода ДИ: 6.78 Л
Уровень: 62 | Надо Гидронол В20: 2.49 Л Вода ДИ: 6.22 Л
Уровень: 63 | Надо Гидронол В20: 2.37 Л Вода ДИ: 5.67 Л
Уровень: 64 | Надо Гидронол В20: 2.26 Л Вода ДИ: 5.11 Л
Уровень: 65 | Надо Гидронол В20: 2.15 Л Вода ДИ: 4.55 Л
Уровень: 66 | Надо Гидронол В20: 2.03 Л Вода ДИ: 4.0 Л
Уровень: 67 | Надо Гидронол В20: 1.92 Л Вода ДИ: 3.44 Л
Уровень: 68 | Надо Гидронол В20: 1.8 Л Вода ДИ: 2.89 Л
Уровень: 69 | Надо Гидронол В20: 1.69 Л Вода ДИ: 2.33 Л
Уровень: 70 | Надо Гидронол В20: 1.58 Л Вода ДИ: 1.77 Л
Уровень: 71 | Надо Гидронол В20: 1.46 Л Вода ДИ: 1.22 Л
Уровень: 72 | Надо Гидронол В20: 1.35 Л Вода ДИ: 0.66 Л
Уровень: 73 | Надо Гидронол В20: 1.24 Л Вода ДИ: 0.1 Л
Уровень: 74 | Надо Гидронол В20: 1.12 Л Вода ДИ: -0.45 Л
Концентрация: 18
Уровень: 45 | Надо Гидронол В20: 4.12 Л Вода ДИ: 15.98 Л
Уровень: 46 | Надо Гидронол В20: 4.0 Л Вода ДИ: 15.43 Л
Уровень: 47 | Надо Гидронол В20: 3.88 Л Вода ДИ: 14.88 Л
Уровень: 48 | Надо Гидронол В20: 3.76 Л Вода ДИ: 14.33 Л
Уровень: 49 | Надо Гидронол В20: 3.64 Л Вода ДИ: 13.78 Л
Уровень: 50 | Надо Гидронол В20: 3.52 Л Вода ДИ: 13.23 Л
Уровень: 51 | Надо Гидронол В20: 3.4 Л Вода ДИ: 12.68 Л
Уровень: 52 | Надо Гидронол В20: 3.28 Л Вода ДИ: 12.13 Л
Уровень: 53 | Надо Гидронол В20: 3.16 Л Вода ДИ: 11.58 Л
Уровень: 54 | Надо Гидронол В20: 3.04 Л Вода ДИ: 11.03 Л
Уровень: 55 | Надо Гидронол В20: 2.92 Л Вода ДИ: 10.48 Л
Уровень: 56 | Надо Гидронол В20: 2.8 Л Вода ДИ: 9.93 Л
Уровень: 57 | Надо Гидронол В20: 2.68 Л Вода ДИ: 9.38 Л
Уровень: 58 | Надо Гидронол В20: 2.56 Л Вода ДИ: 8.83 Л
Уровень: 59 | Надо Гидронол В20: 2.43 Л Вода ДИ: 8.29 Л
Уровень: 60 | Надо Гидронол В20: 2.31 Л Вода ДИ: 7.74 Л
Уровень: 61 | Надо Гидронол В20: 2.19 Л Вода ДИ: 7.19 Л
Уровень: 62 | Надо Гидронол В20: 2.07 Л Вода ДИ: 6.64 Л
Уровень: 63 | Надо Гидронол В20: 1.95 Л Вода ДИ: 6.09 Л
Уровень: 64 | Надо Гидронол В20: 1.83 Л Вода ДИ: 5.54 Л
Уровень: 65 | Надо Гидронол В20: 1.71 Л Вода ДИ: 4.99 Л
Уровень: 66 | Надо Гидронол В20: 1.59 Л Вода ДИ: 4.44 Л
Уровень: 67 | Надо Гидронол В20: 1.47 Л Вода ДИ: 3.89 Л
Уровень: 68 | Надо Гидронол В20: 1.35 Л Вода ДИ: 3.34 Л
Уровень: 69 | Надо Гидронол В20: 1.23 Л Вода ДИ: 2.79 Л
Уровень: 70 | Надо Гидронол В20: 1.11 Л Вода ДИ: 2.24 Л
Уровень: 71 | Надо Гидронол В20: 0.99 Л Вода ДИ: 1.69 Л
Уровень: 72 | Надо Гидронол В20: 0.87 Л Вода ДИ: 1.14 Л
Уровень: 73 | Надо Гидронол В20: 0.75 Л Вода ДИ: 0.59 Л
Уровень: 74 | Надо Гидронол В20: 0.63 Л Вода ДИ: 0.04 Л
Концентрация: 19
Уровень: 45 | Надо Гидронол В20: 3.82 Л Вода ДИ: 16.28 Л
Уровень: 46 | Надо Гидронол В20: 3.69 Л Вода ДИ: 15.74 Л
Уровень: 47 | Надо Гидронол В20: 3.57 Л Вода ДИ: 15.19 Л
Уровень: 48 | Надо Гидронол В20: 3.44 Л Вода ДИ: 14.65 Л
Уровень: 49 | Надо Гидронол В20: 3.31 Л Вода ДИ: 14.11 Л
Уровень: 50 | Надо Гидронол В20: 3.19 Л Вода ДИ: 13.57 Л
Уровень: 51 | Надо Гидронол В20: 3.06 Л Вода ДИ: 13.02 Л
Уровень: 52 | Надо Гидронол В20: 2.93 Л Вода ДИ: 12.48 Л
Уровень: 53 | Надо Гидронол В20: 2.8 Л Вода ДИ: 11.94 Л
Уровень: 54 | Надо Гидронол В20: 2.68 Л Вода ДИ: 11.39 Л
Уровень: 55 | Надо Гидронол В20: 2.55 Л Вода ДИ: 10.85 Л
Уровень: 56 | Надо Гидронол В20: 2.42 Л Вода ДИ: 10.31 Л
Уровень: 57 | Надо Гидронол В20: 2.29 Л Вода ДИ: 9.77 Л
Уровень: 58 | Надо Гидронол В20: 2.17 Л Вода ДИ: 9.22 Л
Уровень: 59 | Надо Гидронол В20: 2.04 Л Вода ДИ: 8.68 Л
Уровень: 60 | Надо Гидронол В20: 1.91 Л Вода ДИ: 8.14 Л
Уровень: 61 | Надо Гидронол В20: 1.78 Л Вода ДИ: 7.6 Л
Уровень: 62 | Надо Гидронол В20: 1.66 Л Вода ДИ: 7.05 Л
Уровень: 63 | Надо Гидронол В20: 1.53 Л Вода ДИ: 6.51 Л
Уровень: 64 | Надо Гидронол В20: 1.4 Л Вода ДИ: 5.97 Л
Уровень: 65 | Надо Гидронол В20: 1.28 Л Вода ДИ: 5.42 Л
Уровень: 66 | Надо Гидронол В20: 1.15 Л Вода ДИ: 4.88 Л
Уровень: 67 | Надо Гидронол В20: 1.02 Л Вода ДИ: 4.34 Л
Уровень: 68 | Надо Гидронол В20: 0.89 Л Вода ДИ: 3.8 Л
Уровень: 69 | Надо Гидронол В20: 0.77 Л Вода ДИ: 3.25 Л
Уровень: 70 | Надо Гидронол В20: 0.64 Л Вода ДИ: 2.71 Л
Уровень: 71 | Надо Гидронол В20: 0.51 Л Вода ДИ: 2.17 Л
Уровень: 72 | Надо Гидронол В20: 0.38 Л Вода ДИ: 1.63 Л
Уровень: 73 | Надо Гидронол В20: 0.26 Л Вода ДИ: 1.08 Л
Уровень: 74 | Надо Гидронол В20: 0.13 Л Вода ДИ: 0.54 Л
Концентрация: 20
Уровень: 45 | Надо Гидронол В20: 3.52 Л Вода ДИ: 16.58 Л
Уровень: 46 | Надо Гидронол В20: 3.39 Л Вода ДИ: 16.04 Л
Уровень: 47 | Надо Гидронол В20: 3.25 Л Вода ДИ: 15.51 Л
Уровень: 48 | Надо Гидронол В20: 3.12 Л Вода ДИ: 14.97 Л
Уровень: 49 | Надо Гидронол В20: 2.98 Л Вода ДИ: 14.44 Л
Уровень: 50 | Надо Гидронол В20: 2.85 Л Вода ДИ: 13.9 Л
Уровень: 51 | Надо Гидронол В20: 2.72 Л Вода ДИ: 13.36 Л
Уровень: 52 | Надо Гидронол В20: 2.58 Л Вода ДИ: 12.83 Л
Уровень: 53 | Надо Гидронол В20: 2.45 Л Вода ДИ: 12.29 Л
Уровень: 54 | Надо Гидронол В20: 2.31 Л Вода ДИ: 11.76 Л
Уровень: 55 | Надо Гидронол В20: 2.18 Л Вода ДИ: 11.22 Л
Уровень: 56 | Надо Гидронол В20: 2.05 Л Вода ДИ: 10.68 Л
Уровень: 57 | Надо Гидронол В20: 1.91 Л Вода ДИ: 10.15 Л
Уровень: 58 | Надо Гидронол В20: 1.78 Л Вода ДИ: 9.61 Л
Уровень: 59 | Надо Гидронол В20: 1.64 Л Вода ДИ: 9.08 Л
Уровень: 60 | Надо Гидронол В20: 1.51 Л Вода ДИ: 8.54 Л
Уровень: 61 | Надо Гидронол В20: 1.38 Л Вода ДИ: 8.0 Л
Уровень: 62 | Надо Гидронол В20: 1.24 Л Вода ДИ: 7.47 Л
Уровень: 63 | Надо Гидронол В20: 1.11 Л Вода ДИ: 6.93 Л
Уровень: 64 | Надо Гидронол В20: 0.97 Л Вода ДИ: 6.4 Л
Уровень: 65 | Надо Гидронол В20: 0.84 Л Вода ДИ: 5.86 Л
Уровень: 66 | Надо Гидронол В20: 0.71 Л Вода ДИ: 5.32 Л
Уровень: 67 | Надо Гидронол В20: 0.57 Л Вода ДИ: 4.79 Л
Уровень: 68 | Надо Гидронол В20: 0.44 Л Вода ДИ: 4.25 Л
Уровень: 69 | Надо Гидронол В20: 0.3 Л Вода ДИ: 3.72 Л
Уровень: 70 | Надо Гидронол В20: 0.17 Л Вода ДИ: 3.18 Л
Уровень: 71 | Надо Гидронол В20: 0.04 Л Вода ДИ: 2.64 Л
Уровень: 72 | Надо Гидронол В20: -0.1 Л Вода ДИ: 2.11 Л
Уровень: 73 | Надо Гидронол В20: -0.23 Л Вода ДИ: 1.57 Л
Уровень: 74 | Надо Гидронол В20: -0.37 Л Вода ДИ: 1.04 Л
Концентрация: 21
Уровень: 45 | Надо Гидронол В20: 3.22 Л Вода ДИ: 16.88 Л
Уровень: 46 | Надо Гидронол В20: 3.08 Л Вода ДИ: 16.35 Л
Уровень: 47 | Надо Гидронол В20: 2.94 Л Вода ДИ: 15.82 Л
Уровень: 48 | Надо Гидронол В20: 2.8 Л Вода ДИ: 15.29 Л
Уровень: 49 | Надо Гидронол В20: 2.66 Л Вода ДИ: 14.76 Л
Уровень: 50 | Надо Гидронол В20: 2.52 Л Вода ДИ: 14.24 Л
Уровень: 51 | Надо Гидронол В20: 2.37 Л Вода ДИ: 13.71 Л
Уровень: 52 | Надо Гидронол В20: 2.23 Л Вода ДИ: 13.18 Л
Уровень: 53 | Надо Гидронол В20: 2.09 Л Вода ДИ: 12.65 Л
Уровень: 54 | Надо Гидронол В20: 1.95 Л Вода ДИ: 12.12 Л
Уровень: 55 | Надо Гидронол В20: 1.81 Л Вода ДИ: 11.59 Л
Уровень: 56 | Надо Гидронол В20: 1.67 Л Вода ДИ: 11.06 Л
Уровень: 57 | Надо Гидронол В20: 1.53 Л Вода ДИ: 10.53 Л
Уровень: 58 | Надо Гидронол В20: 1.39 Л Вода ДИ: 10.0 Л
Уровень: 59 | Надо Гидронол В20: 1.25 Л Вода ДИ: 9.47 Л
Уровень: 60 | Надо Гидронол В20: 1.11 Л Вода ДИ: 8.94 Л
Уровень: 61 | Надо Гидронол В20: 0.97 Л Вода ДИ: 8.41 Л
Уровень: 62 | Надо Гидронол В20: 0.83 Л Вода ДИ: 7.88 Л
Уровень: 63 | Надо Гидронол В20: 0.69 Л Вода ДИ: 7.35 Л
Уровень: 64 | Надо Гидронол В20: 0.55 Л Вода ДИ: 6.82 Л
Уровень: 65 | Надо Гидронол В20: 0.4 Л Вода ДИ: 6.3 Л
Уровень: 66 | Надо Гидронол В20: 0.26 Л Вода ДИ: 5.77 Л
Уровень: 67 | Надо Гидронол В20: 0.12 Л Вода ДИ: 5.24 Л
Уровень: 68 | Надо Гидронол В20: -0.02 Л Вода ДИ: 4.71 Л
Уровень: 69 | Надо Гидронол В20: -0.16 Л Вода ДИ: 4.18 Л
Уровень: 70 | Надо Гидронол В20: -0.3 Л Вода ДИ: 3.65 Л
Уровень: 71 | Надо Гидронол В20: -0.44 Л Вода ДИ: 3.12 Л
Уровень: 72 | Надо Гидронол В20: -0.58 Л Вода ДИ: 2.59 Л
Уровень: 73 | Надо Гидронол В20: -0.72 Л Вода ДИ: 2.06 Л
Уровень: 74 | Надо Гидронол В20: -0.86 Л Вода ДИ: 1.53 Л
Концентрация: 22
Уровень: 45 | Надо Гидронол В20: 2.92 Л Вода ДИ: 17.18 Л
Уровень: 46 | Надо Гидронол В20: 2.77 Л Вода ДИ: 16.66 Л
Уровень: 47 | Надо Гидронол В20: 2.62 Л Вода ДИ: 16.14 Л
Уровень: 48 | Надо Гидронол В20: 2.47 Л Вода ДИ: 15.62 Л
Уровень: 49 | Надо Гидронол В20: 2.33 Л Вода ДИ: 15.09 Л
Уровень: 50 | Надо Гидронол В20: 2.18 Л Вода ДИ: 14.57 Л
Уровень: 51 | Надо Гидронол В20: 2.03 Л Вода ДИ: 14.05 Л
Уровень: 52 | Надо Гидронол В20: 1.89 Л Вода ДИ: 13.52 Л
Уровень: 53 | Надо Гидронол В20: 1.74 Л Вода ДИ: 13.0 Л
Уровень: 54 | Надо Гидронол В20: 1.59 Л Вода ДИ: 12.48 Л
Уровень: 55 | Надо Гидронол В20: 1.44 Л Вода ДИ: 11.96 Л
Уровень: 56 | Надо Гидронол В20: 1.3 Л Вода ДИ: 11.43 Л
Уровень: 57 | Надо Гидронол В20: 1.15 Л Вода ДИ: 10.91 Л
Уровень: 58 | Надо Гидронол В20: 1.0 Л Вода ДИ: 10.39 Л
Уровень: 59 | Надо Гидронол В20: 0.85 Л Вода ДИ: 9.87 Л
Уровень: 60 | Надо Гидронол В20: 0.71 Л Вода ДИ: 9.34 Л
Уровень: 61 | Надо Гидронол В20: 0.56 Л Вода ДИ: 8.82 Л
Уровень: 62 | Надо Гидронол В20: 0.41 Л Вода ДИ: 8.3 Л
Уровень: 63 | Надо Гидронол В20: 0.26 Л Вода ДИ: 7.78 Л
Уровень: 64 | Надо Гидронол В20: 0.12 Л Вода ДИ: 7.25 Л
Уровень: 65 | Надо Гидронол В20: -0.03 Л Вода ДИ: 6.73 Л
Уровень: 66 | Надо Гидронол В20: -0.18 Л Вода ДИ: 6.21 Л
Уровень: 67 | Надо Гидронол В20: -0.33 Л Вода ДИ: 5.69 Л
Уровень: 68 | Надо Гидронол В20: -0.47 Л Вода ДИ: 5.16 Л
Уровень: 69 | Надо Гидронол В20: -0.62 Л Вода ДИ: 4.64 Л
Уровень: 70 | Надо Гидронол В20: -0.77 Л Вода ДИ: 4.12 Л
Уровень: 71 | Надо Гидронол В20: -0.92 Л Вода ДИ: 3.6 Л
Уровень: 72 | Надо Гидронол В20: -1.06 Л Вода ДИ: 3.07 Л
Уровень: 73 | Надо Гидронол В20: -1.21 Л Вода ДИ: 2.55 Л
Уровень: 74 | Надо Гидронол В20: -1.36 Л Вода ДИ: 2.03 Л
